entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group,description,item_description,category,category_source
SRND Group Ltd,#4861,2025-03-31,2025,,,,,Manual Journal,Sales,Sales,31000.0,0,0,2025 - 2025 - Work In Progress (Email Conv 31-12-25),2025 - Work In Progress (Email Conv 31-12-25),Sales,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projectors,Projectors,11838.26,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projectors,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projectors,Projectors,4110.51,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projectors,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projector Mounts,Projector Mounts,5544.55,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projector Mounts,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Services - On Site Services,On Site Services,1011.82,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),On Site Services,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,1965.77,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Reversal - 2025 - Cash In Advance re. Invoice #SR241161 (Needle),Projection Screens,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,21658.0,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241147 (Zagar),Reversal - 2025 - Cash In Advance re. Invoice #SR241147 (Zagar),Projection Screens,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Metal Fabric Track,Metal Fabric Track,27240.89,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Metal Fabric Track,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Metal Fabric Track,Metal Fabric Track,5349.53,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Metal Fabric Track,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Services - Project Design,Project Design,1800.0,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Reversal - 2025 - Cash In Advance re. Invoice #SR241151 (Biggs),Project Design,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales - Materials - Projection Screens,Projection Screens,35134.2,0,0,2025 - Reversal - 2025 - Cash In Advance re. Invoice #SR241147 (Upton),Reversal - 2025 - Cash In Advance re. Invoice #SR241147 (Upton),Projection Screens,account
SRND Group Ltd,#4863,2025-04-01,2025,,,,,Manual Journal,Sales,Sales,-31000.0,0,0,2025 - Reversal - 2025 - Reverse WIP (Email Conv 31-12-25),Reversal - 2025 - Reverse WIP (Email Conv 31-12-25),Sales,account
SRND Group Ltd,#SR241083,2024-09-13,2024,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,Sales - Materials - Projector Mounts,Projector Mounts,1621.0,1,0,5V / AV Concept Products - Projector Port Hole (Single Glazed),Projector Port Hole (Single Glazed),Projector Mounts,account
SRND Group Ltd,#SR241084,2024-09-13,2024,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,Sales - Materials - Plastic Fabric Track,Plastic Fabric Track,251.43,1,0,5V / AV Concept Products - Fabric Walls Tool - Set,Fabric Walls Tool - Set,Plastic Fabric Track,account
SRND Group Ltd,#SR241084,2024-09-13,2024,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,Sales - Materials - Plastic Fabric Track,Plastic Fabric Track,86.7,1,0,5V / AV Concept Products - Fabric Walls Tool - Rocker,Fabric Walls Tool - Rocker,Plastic Fabric Track,account
SRND Group Ltd,#SR241084,2024-09-13,2024,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,Sales - Materials - Plastic Fabric Track,Plastic Fabric Track,86.7,1,0,5V / AV Concept Products - Fabric Walls Tool - Bent Blade,Fabric Walls Tool - Bent Blade,Plastic Fabric Track,account
SRND Group Ltd,#SR241167,2025-04-10,2025,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,SRND Store Sales,SRND Store Sales,907.72,1,0,5V / AV Concept Products - Projector Port Hole Small (Single Glazed),Projector Port Hole Small (Single Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241233,2025-09-09,2025,,,5V / AV Concept Products,5V / AV Concept Products,Receivable Invoice,SRND Store Sales,SRND Store Sales,3025.71,1,0,5V / AV Concept Products - Projector Port Hole Small (Single Glazed),Projector Port Hole Small (Single Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241044,2024-05-13,2024,,,Absolute Acoustics,Absolute Acoustics,Receivable Invoice,SRND Store Sales,SRND Store Sales,204.7,1,0,Absolute Acoustics - Fabric Walls Tool - Rocker,Fabric Walls Tool - Rocker,Tools,description-rule
SRND Group Ltd,#SR241126,2025-01-15,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,2350.0,1,0,Adair Acoustic Design - Mad VR Envy Core,Mad VR Envy Core,Video Processors,description-rule
SRND Group Ltd,#SR241176,2025-05-07,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,855.0,1,0,Adair Acoustic Design - MADVR Envy Core premium licence,MADVR Envy Core premium licence,Video Processors,description-rule
SRND Group Ltd,#SR241179,2025-05-09,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,Sales - Materials - Projector Mounts,Projector Mounts,493.56,1,0,Adair Acoustic Design - Ceiling Mount,Ceiling Mount,Projector Mounts,account
SRND Group Ltd,#SR241179,2025-05-09,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,Sales - Materials - Projection Screens,Projection Screens,4826.25,1,0,Adair Acoustic Design - DT-DYN2TB-2400-1.78-IS-ATREF,DT-DYN2TB-2400-1.78-IS-ATREF,Projection Screens,account
SRND Group Ltd,#SR241210,2025-07-10,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,2331.0,1,0,Adair Acoustic Design - Frontier - (D#5FZUFE7),Frontier - (D#5FZUFE7),Fixed & specialist screens,description-rule
SRND Group Ltd,#SR241218,2025-07-24,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,24700.0,1,0,Adair Acoustic Design - Heimdall Cinema Projector,Heimdall Cinema Projector,Projectors,description-rule
SRND Group Ltd,#SR241218,2025-07-24,2025,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,4062.5,1,0,Adair Acoustic Design - BARCO EN64 - High Performance - Long Throw Zoom Lens option (2.5 ‑ 4.6),BARCO EN64 - High Performance - Long Throw Zoom Lens option (2.5 ‑ 4.6),Projectors,description-rule
SRND Group Ltd,#SR241342,2026-05-29,2026,,,Adair Acoustic Design,Adair Acoustic Design,Receivable Invoice,SRND Store Sales,SRND Store Sales,889.92,1,0,Adair Acoustic Design - Projector Port Hole Small (Single Glazed),Projector Port Hole Small (Single Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241113,2024-12-02,2024,,,Ahmed Marafi,Ahmed Marafi,Receivable Invoice,SRND Store Sales,SRND Store Sales,2350.0,1,0,Ahmed Marafi - Mad VR Envy Core,Mad VR Envy Core,Video Processors,description-rule
SRND Group Ltd,#SR241113,2024-12-02,2024,,,Ahmed Marafi,Ahmed Marafi,Receivable Credit Note,SRND Store Sales,SRND Store Sales,-300.0,1,0,Ahmed Marafi - Shipping refund,Shipping refund,Shipping,description-rule
SRND Group Ltd,#SR241113,2024-12-02,2024,,,Ahmed Marafi,Ahmed Marafi,Receivable Credit Note,SRND Store Sales,SRND Store Sales,-2350.0,1,0,Ahmed Marafi - Mad VR Envy Core,Mad VR Envy Core,Video Processors,description-rule
SRND Group Ltd,#SR241373,2026-07-29,2026,,,Alexander McCaffrey,Alexander McCaffrey,Receivable Invoice,SRND Store Sales,SRND Store Sales,372.3,1,0,Alexander McCaffrey - 50MOTD Fabric Track - 10,50MOTD Fabric Track - 10,Fabric track,description-rule
SRND Group Ltd,#SR241373,2026-07-29,2026,,,Alexander McCaffrey,Alexander McCaffrey,Receivable Invoice,SRND Store Sales,SRND Store Sales,372.3,1,0,Alexander McCaffrey - 50MOCL Fabric Track - 10,50MOCL Fabric Track - 10,Fabric track,description-rule
SRND Group Ltd,#SR241110,2024-11-18,2024,,,Aloud AB,Aloud AB,Receivable Invoice,SRND Store Sales,SRND Store Sales,120.0,1,0,Aloud AB - Dynamic Masking Screen - Tension Bands,Dynamic Masking Screen - Tension Bands,Screen accessories,description-rule
SRND Group Ltd,#SR241295,2026-02-17,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,5.0,1,0,Aluma Tech ltd - Ultrasuede XL 1509 Cameo large sample,Ultrasuede XL 1509 Cameo large sample,Fabric samples,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,5093.09,1,0,Aluma Tech ltd - DT-MASK-2S-165-ATS,DT-MASK-2S-165-ATS,Masking screens,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,1708.14,1,0,Aluma Tech ltd - Projector Port Hole (Single Glazed),Projector Port Hole (Single Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,1662.85,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 942x2460mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 942x2460mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,290.03,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x899mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x899mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,297.63,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x1000mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x1000mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,5820.5,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 665x2530mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 665x2530mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,6207.59,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 9665x2930mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 9665x2930mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,1225.88,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 620x2040mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 620x2040mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,1037.18,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 4700x490mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 4700x490mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,916.33,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 275x1866mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 275x1866mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,957.54,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x382mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x382mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,1168.92,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x682mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x682mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,7106.54,1,0,Aluma Tech ltd - FW frame - RAL 1015 - Ultrasuede XL Cameo - 1085x4555mm,FW frame - RAL 1015 - Ultrasuede XL Cameo - 1085x4555mm,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,487.55,1,0,Aluma Tech ltd - 35x35 surface mount LED profile - Opal diffuser - up to 3m,35x35 surface mount LED profile - Opal diffuser - up to 3m,LED Profile,description-rule
SRND Group Ltd,#SR241311,2026-04-09,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,483.68,1,0,Aluma Tech ltd - RAL 1015 colour matching for LED profiles,RAL 1015 colour matching for LED profiles,LED Profile,description-rule
SRND Group Ltd,#SR241334,2026-05-19,2026,,,Aluma Tech ltd,Aluma Tech ltd,Receivable Invoice,SRND Store Sales,SRND Store Sales,5.0,1,0,Aluma Tech ltd - Ultrasuede XL 1509 Cameo large sample,Ultrasuede XL 1509 Cameo large sample,Fabric samples,description-rule
SRND Group Ltd,#SR241344,2026-06-03,2026,,,Amplified Lifestyles LLC,Amplified Lifestyles LLC,Receivable Invoice,SRND Store Sales,SRND Store Sales,1801.11,1,0,Amplified Lifestyles LLC - Projector Port Hole (Single Glazed),Projector Port Hole (Single Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241344,2026-06-03,2026,,,Amplified Lifestyles LLC,Amplified Lifestyles LLC,Receivable Invoice,SRND Store Sales,SRND Store Sales,237.92,1,0,Amplified Lifestyles LLC - Custom colour RAL#T243-GR522,Custom colour RAL#T243-GR522,Finishes & colour,description-rule
SRND Group Ltd,#SR241350,2026-06-12,2026,,,Amplified Lifestyles LLC,Amplified Lifestyles LLC,Receivable Invoice,SRND Store Sales,SRND Store Sales,1863.53,1,0,Amplified Lifestyles LLC - Vertical Projector Mirror Mount,Vertical Projector Mirror Mount,Projector Mounts,description-rule
SRND Group Ltd,#SR241050,2024-05-23,2024,,,Amy Thiroff,Amy Thiroff,Receivable Invoice,SRND Store Sales,SRND Store Sales,2118.6,1,0,Amy Thiroff - Projector Port Hole (Double Glazed),Projector Port Hole (Double Glazed),Port holes & glass,description-rule
SRND Group Ltd,#SR241050,2024-05-23,2024,,,Amy Thiroff,Amy Thiroff,Receivable Invoice,SRND Store Sales,SRND Store Sales,150.0,1,0,Amy Thiroff - RAL 5009 colour,RAL 5009 colour,Finishes & colour,description-rule
SRND Group Ltd,#SR241035,2024-04-24,2024,,,Andrzej Gratkowski,Andrzej Gratkowski,Receivable Invoice,Sales - Materials - Projector Mounts,Projector Mounts,4931.82,1,0,Andrzej Gratkowski - Motorised Mirror Drop,Motorised Mirror Drop,Projector Mounts,account
SRND Group Ltd,INV-2024/2064,2025-03-20,2025,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Payable Invoice,Sales - Materials - Video Processors,Video Processors,-9415.48,0,1,"Apex Tech Scotland Ltd / Apex-Tech UK - Mad VR Envy Extreme - HDMI 2.0 video processor with single processed HDMI input and Output and single bypass output. AI powered dynamic tone mapping, scaling, deinterlacing and advanced calibration functions up to 8K60","Mad VR Envy Extreme - HDMI 2.0 video processor with single processed HDMI input and Output and single bypass output. AI powered dynamic tone mapping, scaling, deinterlacing and advanced calibration functions up to 8K60",Video Processors,account
SRND Group Ltd,INV-2024/2064,2025-03-20,2025,,,Apex Tech Scotland Ltd / Apex-Tech UK,Apex Tech Scotland Ltd,Payable Invoice,Sales - Materials - Video Processors,Video Processors,500.0,0,1,Apex Tech Scotland Ltd / Apex-Tech UK - Demo Discount,Demo Discount,Video Processors,account
SRND Group Ltd,#SR241054,2024-06-06,2024,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,165.24,1,0,Apex Technologies USA LLC - Pixel LED Tape - 12v RGBW,Pixel LED Tape - 12v RGBW,LED Tape,description-rule
SRND Group Ltd,#SR241106,2024-11-05,2024,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,991.44,1,0,Apex Technologies USA LLC - Pixel LED Tape - 12v RGBW - SRND Store Pixel LED Tape - 12v RGBW LW-LP-LED-12V-RGBW,Pixel LED Tape - 12v RGBW - SRND Store Pixel LED Tape - 12v RGBW LW-LP-LED-12V-RGBW,LED Tape,description-rule
SRND Group Ltd,#SR241106,2024-11-05,2024,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,153.0,1,0,Apex Technologies USA LLC - HDMI to USB vLight Interface,HDMI to USB vLight Interface,LED Control and Power,description-rule
SRND Group Ltd,#SR241111,2024-11-20,2024,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,642.6,1,0,Apex Technologies USA LLC - Aura Flex AT (Diffusion Fabric),Aura Flex AT (Diffusion Fabric),Fabrics,description-rule
SRND Group Ltd,#SR241134,2025-01-29,2025,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Materials - LED Tape,LED Tape,4544.1,1,0,Apex Technologies USA LLC - LW-LP-LED- 12V-RGBW RGBW 60/20 LEDs M 12V 5M - 300 LEDs,LW-LP-LED- 12V-RGBW RGBW 60/20 LEDs M 12V 5M - 300 LEDs,LED Tape,account
SRND Group Ltd,#SR241134,2025-01-29,2025,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,Sales - Materials - LED Control and Power,LED Control and Power,153.0,1,0,Apex Technologies USA LLC - LWCH-USBVLIGHT HDMI to USB vLight Interface,LWCH-USBVLIGHT HDMI to USB vLight Interface,LED Control and Power,account
SRND Group Ltd,#SR241220,2025-07-28,2025,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,7180.67,1,0,Apex Technologies USA LLC - Pixel LED Tape - 12v RGBW,Pixel LED Tape - 12v RGBW,LED Tape,description-rule
SRND Group Ltd,#SR241220,2025-07-28,2025,,,Apex Technologies USA LLC,Apex Technologies USA,Receivable Invoice,SRND Store Sales,SRND Store Sales,153.0,1,0,Apex Technologies USA LLC - HDMI to USB vLight Interface,HDMI to USB vLight Interface,LED Control and Power,description-rule
SRND Group Ltd,#SR241170,2025-04-24,2025,,,AV Daksma,AV Daksma,Receivable Invoice,Sales - Materials - Metal Fabric Track,Metal Fabric Track,395.2,1,0,AV Daksma - Aluminium Fabric Frame - (D#GMDCEA6),Aluminium Fabric Frame - (D#GMDCEA6),Metal Fabric Track,account
SRND Group Ltd,#SR241170,2025-04-24,2025,,,AV Daksma,AV Daksma,Receivable Invoice,Sales - Materials - Metal Fabric Track,Metal Fabric Track,748.0,1,0,AV Daksma - Aluminium Fabric Frame - (D#OJ642FH),Aluminium Fabric Frame - (D#OJ642FH),Metal Fabric Track,account
SRND Group Ltd,#SR241170,2025-04-24,2025,,,AV Daksma,AV Daksma,Receivable Invoice,Sales - Materials - Metal Fabric Track,Metal Fabric Track,1040.0,1,0,AV Daksma - Aluminium Fabric frame with hinges - 430x2066 - Blazer Lite Haven,Aluminium Fabric frame with hinges - 430x2066 - Blazer Lite Haven,Metal Fabric Track,account
SRND Group Ltd,#SR241186,2025-05-19,2025,,,AV Daksma,AV Daksma,Receivable Invoice,SRND Store Sales,SRND Store Sales,15953.16,1,0,AV Daksma - Cinema Interior - Busan - (D#QS9FG5Y),Cinema Interior - Busan - (D#QS9FG5Y),Cinema interiors,description-rule
SRND Group Ltd,#SR241186,2025-05-19,2025,,,AV Daksma,AV Daksma,Receivable Invoice,SRND Store Sales,SRND Store Sales,2103.54,1,0,AV Daksma - Enhanced Cinema Interior Design Package,Enhanced Cinema Interior Design Package,"Services — design, commissioning & support",description-rule
SRND Group Ltd,#SR241186,2025-05-19,2025,,,AV Daksma,AV Daksma,Receivable Invoice,SRND Store Sales,SRND Store Sales,434.2,1,0,AV Daksma - PixLite® A4-S Mk3,PixLite® A4-S Mk3,LED Control and Power,description-rule
SRND Group Ltd,#SR241186,2025-05-19,2025,,,AV Daksma,AV Daksma,Receivable Invoice,SRND Store Sales,SRND Store Sales,1472.03,1,0,AV Daksma - Extra fabric and LED lines,Extra fabric and LED lines,Fabric wall frames & panels,description-rule
SRND Group Ltd,#SR241263,2025-11-28,2025,,,Barco NV,Barco NV,Receivable Invoice,SRND Store Sales,SRND Store Sales,13068.0,1,0,Barco NV - Fabric Walls - Seattle Design Optimised for Cinepodz,Fabric Walls - Seattle Design Optimised for Cinepodz,"Services — design, commissioning & support",description-rule
SRND Group Ltd,#SR241263,2025-11-28,2025,,,Barco NV,Barco NV,Receivable Invoice,SRND Store Sales,SRND Store Sales,2649.0,1,0,"Barco NV - DT-FRNT-3230-190-ATREF - DT Frontier Screen, 3230mm wide visible, 1.9 aspect, ATRef Image Surface","DT-FRNT-3230-190-ATREF - DT Frontier Screen, 3230mm wide visible, 1.9 aspect, ATRef Image Surface",Image surfaces,description-rule
SRND Group Ltd,#SR241263,2025-11-28,2025,,,Barco NV,Barco NV,Receivable Invoice,SRND Store Sales,SRND Store Sales,1200.0,1,0,Barco NV - C-ATS - 25mm Acoustic Foam Sheet 1m x 1m,C-ATS - 25mm Acoustic Foam Sheet 1m x 1m,Acoustic Treatment,description-rule
SRND Group Ltd,#SR241017,2024-03-11,2024,,,Base Ltd t/a Genesis AV,Base Ltd t/a Genesis AV,Receivable Invoice,Sales - Materials - Projector Mounts,Projector Mounts,548.4,1,0,Base Ltd t/a Genesis AV - Ceiling Mount,Ceiling Mount,Projector Mounts,account
SRND Group Ltd,#SR241017,2024-03-11,2024,,,Base Ltd t/a Genesis AV,Base Ltd t/a Genesis AV,Receivable Invoice,Sales - Materials - Projection Screens,Projection Screens,500.0,1,0,Base Ltd t/a Genesis AV - Screen upgrade,Screen upgrade,Projection Screens,account
SRND Group Ltd,#SR241059,2024-06-27,2024,,,Base Ltd t/a Genesis AV,Base Ltd t/a Genesis AV,Receivable Invoice,Sales - Materials - LED Control and Power,LED Control and Power,499.96,1,0,Base Ltd t/a Genesis AV - PixLite® A4-S Mk3,PixLite® A4-S Mk3,LED Control and Power,account
SRND Group Ltd,#SR241059,2024-06-27,2024,,,Base Ltd t/a Genesis AV,Base Ltd t/a Genesis AV,Receivable Invoice,Sales - Materials - LED Tape,LED Tape,393.17,1,0,Base Ltd t/a Genesis AV - Pixel LED Tape - 12v RGBW,Pixel LED Tape - 12v RGBW,LED Tape,account
